part,name,description,category,product_line_id,release_date,original_condition_id
M9A48LA#ABM,HP 15.6 Value Topload Rfrbd Case,HP 15.6 Value Topload Case,"Accessories>Bags, Cases & Sleeves",Consumer,2016-03-03,Excess New
X3X84LA#ABM,HP 15.6 Value/Camo Lng Topload Case,HP 15.6 Value/Camo Lng Topload Case,"Accessories>Bags, Cases & Sleeves",Consumer,2017-01-12,Excess New
P6N24UT,HP 17.3 Brown Leather Top Load Case,HP Executive 17.3 Brown Leather Top Load Case,"Accessories>Bags, Cases & Sleeves",Commercial,2017-03-06,Excess New
P6N24AA,HP 17.3 Brown Leather Top Load Case,HP Executive 17.3 Brown Leather Top Load Case,"Accessories>Bags, Cases & Sleeves",Commercial,2017-03-30,Refurbished
QL488AA#ABA,HP 20-Notebook Charging Cart,HP 20-Notebook Charging Cart,"Accessories>Bags, Cases & Sleeves",Commercial,2015-04-07,Refurbished
K5R20LA#ABM,HP 8 Plus Blu Rfrbd Case,HP 8 Plus Blu Case,"Accessories>Bags, Cases & Sleeves",Consumer,2015-08-26,Excess New
L3S80AA,HP 810 Revolve Protective Case,HP 810 Revolve Protective Case,"Accessories>Bags, Cases & Sleeves",Commercial,2016-07-28,Refurbished
C3R86LA#ABM,HP Big Deals Carrying Case LTNA Rfrbd,HP Big Deals Carrying Case LTNA Rfrbd,"Accessories>Bags, Cases & Sleeves",Consumer,2015-02-20,Excess New
H5M93AA,HP Business 4wheel Roller Case,HP Business 4wheel Roller Case,"Accessories>Bags, Cases & Sleeves",Commercial,2013-09-23,Excess New
LU934AA#ABA,HP Business Nylon Top Load Case ,HP Business Nylon Top Load Case ,"Accessories>Bags, Cases & Sleeves",Commercial,2012-10-19,Excess New
